Year,County,Value
2006,OTHER (COMBINED) COUNTIES,0
2004,OTHER (COMBINED) COUNTIES,134
2003,COOS,0
2003,JOSEPHINE,0
2003,OTHER (COMBINED) COUNTIES,0
2002,JACKSON,0
2002,OTHER (COMBINED) COUNTIES,134
2001,COOS,0
2001,JACKSON,0
2001,JOSEPHINE,0
2000,COOS,0
2000,DOUGLAS,0
2000,JACKSON,0
2000,JOSEPHINE,0
1999,COOS,0
1999,JACKSON,0
1999,JOSEPHINE,0
1998,JOSEPHINE,158
1997,JOSEPHINE,160
1996,COOS,160
1983,DOUGLAS,100
1982,DOUGLAS,95
1982,JOSEPHINE,103
1981,DOUGLAS,90
1980,DOUGLAS,90
1979,DOUGLAS,85
1978,DOUGLAS,85
1977,DOUGLAS,85
1976,DOUGLAS,95
1975,DOUGLAS,75
1974,DOUGLAS,72
1973,DOUGLAS,95
1972,DOUGLAS,66
1971,DOUGLAS,75
1970,DOUGLAS,75
1969,DOUGLAS,78
1968,DOUGLAS,70
1967,DOUGLAS,70
1967,JACKSON,80
1967,JOSEPHINE,60
1966,DOUGLAS,75
1966,JACKSON,70
1966,JOSEPHINE,60
1965,DOUGLAS,70
1965,JACKSON,60
1965,JOSEPHINE,60
1964,DOUGLAS,80
1964,JACKSON,50
1964,JOSEPHINE,50
1963,DOUGLAS,65
1963,JACKSON,55
1963,JOSEPHINE,60
1962,DOUGLAS,76
1962,JACKSON,60
1962,JOSEPHINE,70
1961,DOUGLAS,66
1961,JACKSON,51
1961,JOSEPHINE,71
1960,DOUGLAS,68
1960,JACKSON,46.5
1960,JOSEPHINE,76
1959,DOUGLAS,67
1959,JACKSON,40.5
1959,JOSEPHINE,80
1958,DOUGLAS,74.5
1958,JACKSON,46.5
1958,JOSEPHINE,86.5
1957,DOUGLAS,77
1957,JACKSON,67
1957,JOSEPHINE,72
1956,DOUGLAS,70
1956,JACKSON,60
1956,JOSEPHINE,64
